Date,SDate,EDate,EquipmentClass,GroupLevel,EquipmentName,TmStatus,TmReason
01/01/2019, 6:00:00 AM,8:00:00 PM,Truck,CAT 777,DT07,Down,NCBD - Maint Underway
01/02/2019, 6:00:00 AM,6:00:00 PM,Truck,CAT 777,DT07,Down,NCBD - Maint Underway
01/02/2019, 6:00:00 AM,6:00:00 PM,Truck,CAT 757,DT07,Unknow,Unknow
01/02/2019, 6:00:00 AM,6:00:00 PM,Truck,CAT 757,DT07,Unknow,Unknow
01/02/2019, 6:00:00 AM,6:00:00 PM,Truck,CAT 757,DT07,Unknow,Unknow
01/02/2019, 6:00:00 AM,6:00:00 PM,Truck,CAT 757,DT07,Unknow,Unknow
01/02/2019, 6:00:00 AM,6:00:00 PM,Truck,CAT 757,DT07,Unknow,Unknow
01/02/2019, 6:00:00 PM,6:00:00 AM,Truck,CAT 777,DT07,Down,NCBD - Maint Underway
01/03/2019, 6:00:00 AM,6:00:00 PM,Truck,CAT 777,DT07,Down,NCBD - Maint Underway
01/03/2019, 6:00:00 PM,6:00:00 AM,Truck,CAT 777,DT07,Down,NCBD - Maint Underway
01/04/2019, 6:00:00 AM,6:00:00 PM,Truck,CAT 777,DT07,Down,NCBD - Maint Underway
01/02/2019, 6:00:00 AM,6:00:00 PM,Truck,CAT 779,DT07,Unknow,Unknow
01/02/2019, 6:00:00 AM,6:00:00 PM,Truck,CAT 779,DT07,Unknow,Unknow
01/02/2019, 6:00:00 AM,6:00:00 PM,Truck,CAT 779,DT07,Unknow,Unknow
01/02/2019, 6:00:00 AM,6:00:00 PM,Truck,CAT 779,DT07,Unknow,Unknow
01/02/2019, 6:00:00 AM,6:00:00 PM,Truck,CAT 779,DT07,Unknow,Unknow
01/04/2019, 6:00:00 PM,6:00:00 AM,Truck,CAT 777,DT07,Down,NCBD - Maint Underway
01/05/2019, 6:00:00 AM,6:00:00 PM,Truck,CAT 777,DT07,Down,NCBD - Maint Underway
01/05/2019, 6:00:00 PM,6:00:00 AM,Truck,CAT 777,DT07,Down,NCBD - Maint Underway
01/15/2019, 1:31:27 PM,6:00:00 PM,Truck,CAT 777,DT07,Down,NCBD - Maint Underway
01/15/2019, 6:00:00 PM,6:00:00 AM,Truck,CAT 777,DT07,Down,NCBD - Maint Underway
01/02/2019, 6:00:00 AM,6:00:00 PM,Truck,CAT 778,DT07,Unknow,Unknow
01/02/2019, 6:00:00 AM,6:00:00 PM,Truck,CAT 778,DT07,Unknow,Unknow
01/02/2019, 6:00:00 AM,6:00:00 PM,Truck,CAT 778,DT07,Unknow,Unknow
01/02/2019, 6:00:00 AM,6:00:00 PM,Truck,CAT 778,DT07,Unknow,Unknow
01/02/2019, 6:00:00 AM,6:00:00 PM,Truck,CAT 778,DT07,Unknow,Unknow
01/16/2019, 6:00:00 AM,10:17:17 AM,Truck,CAT 777,DT07,Down,NCBD - Maint Underway
01/16/2019, 2:11:55 PM,6:00:00 PM,Truck,CAT 777,DT07,Down,NCBD - Maint Underway